0, Acid Splash, Conjuration, 1 action, phb 211
2, Blindness/Deafness, Necromancy, 1 action, phb 219
2, Blur, Illusion, 1 action, phb 219
2, Cloud of Daggers, Conjuration, 1 action, phb 222
2, Crown of Madness, Enchantment, 1 action, phb 229
2, Darkness, Evocation, 1 action, phb 230
2, Darkvision, Transmutation, 1 action, phb 230
2, Detect Thoughts, Divination, 1 action, phb 231
2, Dust Devil, Conjuration, 1 action, ee 17
2, Earthbind, Transmutation, 1 action, ee 17
2, Enhance Ability, Transmutation, 1 action, phb 237
2, Enlarge/Reduce, Transmutation, 1 action, phb 237
2, Gust of Wind, Evocation, 1 action, phb 248
2, Hold Person, Enchantment, 1 action, phb 251
2, Invisibility, Illusion, 1 action, phb 254
2, Knock, Transmutation, 1 action, phb 254
2, Levitate, Transmutation, 1 action, phb 255
2, Maximilian's Earthen Grasp, Transmutation, 1 action, ee 20
2, Mirror Image, Illusion, 1 action, phb 260
2, Misty Step, Conjuration, 1 bonus action, phb 260
2, Phantasmal Force, Illusion, 1 action, phb 264
2, Pyrotechnics, Transmutation, 1 action, ee 21
2, Scorching Ray, Evocation, 1 action, phb 273
2, See Invisibility, Divination, 1 action, phb 274
2, Shatter, Evocation, 1 action, phb 275
2, Snilloc's Snowball Swarm, Evocation, 1 action, ee 22
2, Spider Climb, Transmutation, 1 action, phb 277
2, Suggestion, Enchantment, 1 action, phb 279
2, Warding Wind, Evocation, 1 action, ee 23
2, Web, Conjuration, 1 action, phb 287
3, Blink, Transmutation, 1 action, phb 219
3, Clairvoyance, Divination, 10 minutes, phb 222
3, Counterspell, Abjuration, 1 reaction, phb 228
3, Daylight, Evocation, 1 action, phb 230
3, Dispel Magic, Abjuration, 1 action, phb 234
3, Erupting Earth, Transmutation, 1 action, ee 17
3, Fear, Illusion, 1 action, phb 239
3, Fireball, Evocation, 1 action, phb 241
3, Flame Arrows, Transmutation, 1 action, ee 18
3, Fly, Transmutation, 1 action, phb 243
3, Gaseous Form, Transmutation, 1 action, phb 244
3, Haste, Transmutation, 1 action, phb 250
3, Hypnotic Pattern, Illusion, 1 action, phb 252
3, Lightning Bolt, Evocation, 1 action, phb 255
3, Major Image, Illusion, 1 action, phb 258
3, Melf's Minute Meteors, Evocation, 1 action, ee 20
3, Protection from Energy, Abjuration, 1 action, phb 270
3, Sleet Storm, Conjuration, 1 action, phb 276
3, Slow, Transmutation, 1 action, phb 277
3, Stinking Cloud, Conjuration, 1 action, phb 278
3, Tongues, Divination, 1 action, phb 283
3, Wall of Water, Evocation, 1 action, ee 23
3, Water Breathing, Transmutation, 1 action, phb 287
3, Water Walk, Transmutation, 1 action, phb 287
4, Banishment, Abjuration, 1 action, phb 217
4, Blight, Necromancy, 1 action, phb 219
4, Confusion, Enchantment, 1 action, phb 224
4, Dimension Door, Conjuration, 1 action, phb 233
4, Dominate Beast, Enchantment, 1 action, phb 234
4, Greater Invisibility, Illusion, 1 action, phb 246
4, Ice Storm, Evocation, 1 action, phb 252
4, Polymorph, Transmutation, 1 action, phb 266
4, Stoneskin, Abjuration, 1 action, phb 278
4, Storm Sphere, Evocation, 1 action, ee 22
4, Vitriolic Sphere, Evocation, 1 action, ee 23
4, Wall of Fire, Evocation, 1 action, phb 285
4, Watery Sphere, Conjuration, 1 action, ee 23
5, Animate Objects, Transmutation, 1 action, phb 213
5, Cloudkill, Conjuration, 1 action, phb 222
5, Cone of Cold, Evocation, 1 action, phb 224
5, Control Winds, Transmutation, 1 action, ee 16
5, Creation, Illusion, 1 minute, phb 229
5, Dominate Person, Enchantment, 1 action, phb 235
5, Hold Monster, Enchantment, 1 action, phb 251
5, Immolation, Evocation, 1 action, ee 19
5, Insect Plague, Conjuration, 1 action, phb 254
5, Seeming, Illusion, 1 action, phb 274
5, Telekinesis, Transmutation, 1 action, phb 280
5, Teleportation Circle, Conjuration, 1 minute, phb 282
5, Wall of Stone, Evocation, 1 action, phb 287
6, Arcane Gate, Conjuration, 1 action, phb 214
6, Chain Lightning, Evocation, 1 action, phb 221
6, Circle of Death, Necromancy, 1 action, phb 221
6, Disintegrate, Transmutation, 1 action, phb 233
6, Eyebite, Necromancy, 1 action, phb 238
6, Globe of Invulnerability, Abjuration, 1 action, phb 245
6, Investiture of Flame, Transmutation, 1 action, ee 19
6, Investiture of Ice, Transmutation, 1 action, ee 19
6, Investiture of Stone, Transmutation, 1 action, ee 19
6, Investiture of Wind, Transmutation, 1 action, ee 20
6, Mass Suggestion, Enchantment, 1 action, phb 258
6, Move Earth, Transmutation, 1 action, phb 263
6, Sunbeam, Evocation, 1 action, phb 279
6, True Seeing, Divination, 1 action, phb 284
7, Delayed Blast Fireball, Evocation, 1 action, phb 230
7, Etherealness, Transmutation, 1 action, phb 238
7, Finger of Death, Necromancy, 1 action, phb 241
7, Fire Storm, Evocation, 1 action, phb 242
7, Plane Shift, Conjuration, 1 action, phb 266
7, Prismatic Spray, Evocation, 1 action, phb 267
7, Reverse Gravity, Transmutation, 1 action, phb 272
7, Teleport, Conjuration, 1 action, phb 281
8, Abi-Dalzim's Horrid Wilting, Necromancy, 1 action, ee 15
8, Dominate Monster, Enchantment, 1 action, phb 235
8, Earthquake, Evocation, 1 action, phb 236
8, Incendiary Cloud, Conjuration, 1 action, phb 253
8, Power Word Stun, Enchantment, 1 action, phb 267
8, Sunburst, Evocation, 1 action, phb 279
9, Gate, Conjuration, 1 action, phb 244
9, Meteor Swarm, Evocation, 1 action, phb 259
9, Power Word Kill, Enchantment, 1 action, phb 266
9, Time Stop, Transmutation, 1 action, phb 283
9, Wish, Conjuration, 1 action, phb 288
